,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Threeseasonporch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YearSold,SaleType,SaleCondition,SalePrice,labels
0,2,5,141.0,31770.0,1,1,3,3,0,0,0,15,2,2,1,0,0,1,1960,1960,3,1,3,10,4,112.0,3,4,1,5,2,1,1,2.0,6,0.0,441.0,1080.0,1,1,1,4,1656.0,0.0,0.0,1656.0,1,0,1,0,3,1,4,7,7,2,2,0,0,2,528.0,5,5,1,210.0,62.0,0.0,0.0,0.0,0.0,3,4,2,0.0,5,2010,9,4,215000,0
1,2,4,80.0,11622.0,1,1,2,3,0,4,0,15,1,2,1,0,1,0,1961,1961,1,1,13,14,3,0.0,3,4,1,5,5,3,5,6.0,3,144.0,270.0,882.0,1,4,1,4,896.0,0.0,0.0,896.0,0,0,1,0,2,1,4,5,7,0,3,0,3,1,730.0,5,5,2,140.0,0.0,0.0,0.0,120.0,0.0,3,2,2,0.0,6,2010,9,4,105000,0
2,2,5,81.0,14267.0,1,1,3,3,0,0,0,15,2,2,1,0,0,0,1958,1958,3,1,14,15,1,108.0,3,4,1,5,5,3,0,1.0,6,0.0,406.0,1329.0,1,4,1,4,1329.0,0.0,0.0,1329.0,0,0,1,1,3,1,2,6,7,0,3,0,3,1,312.0,5,5,2,393.0,36.0,0.0,0.0,0.0,0.0,3,4,1,12500.0,6,2010,9,4,172000,0
3,2,5,93.0,11160.0,1,1,2,3,0,0,0,15,2,2,1,0,5,1,1968,1968,3,1,3,3,3,0.0,2,4,1,5,5,3,0,1.0,6,0.0,1045.0,2110.0,1,0,1,4,2110.0,0.0,0.0,2110.0,1,0,2,1,3,1,0,8,7,2,5,0,0,2,522.0,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,4,2,0.0,4,2010,9,4,244000,2
4,13,5,74.0,13830.0,1,1,3,3,0,4,0,8,2,2,1,5,1,1,1997,1998,1,1,13,14,3,0.0,3,4,2,2,5,3,2,3.0,6,0.0,137.0,928.0,1,2,1,4,928.0,701.0,0.0,1629.0,0,0,2,1,3,1,4,6,7,1,5,0,0,2,482.0,5,5,2,212.0,34.0,0.0,0.0,0.0,0.0,3,2,2,0.0,3,2010,9,4,189900,1
5,13,5,78.0,9978.0,1,1,3,3,0,4,0,8,2,2,1,5,0,0,1998,1998,1,1,13,14,1,20.0,3,4,2,5,5,3,2,3.0,6,0.0,324.0,926.0,1,0,1,4,926.0,678.0,0.0,1604.0,0,0,2,1,3,1,2,7,7,1,2,0,0,2,470.0,5,5,2,360.0,36.0,0.0,0.0,0.0,0.0,3,4,2,0.0,6,2010,9,4,195500,1
6,3,5,41.0,4920.0,1,1,2,3,0,4,0,25,2,2,3,0,8,1,2001,2001,1,1,5,5,3,0.0,2,4,2,2,5,2,2,3.0,6,0.0,722.0,1338.0,1,0,1,4,1338.0,0.0,0.0,1338.0,1,0,2,0,2,1,2,6,7,0,3,0,0,2,582.0,5,5,2,0.0,0.0,170.0,0.0,0.0,0.0,3,4,2,0.0,4,2010,9,4,213500,2
7,3,5,43.0,5005.0,1,1,3,1,0,4,0,25,2,2,3,0,8,1,1992,1992,1,1,6,6,3,0.0,2,4,2,2,5,3,0,1.0,6,0.0,1017.0,1280.0,1,0,1,4,1280.0,0.0,0.0,1280.0,0,0,2,0,2,1,2,5,7,0,3,0,2,2,506.0,5,5,2,0.0,82.0,0.0,0.0,144.0,0.0,3,4,2,0.0,1,2010,9,4,191500,2
8,3,5,39.0,5389.0,1,1,3,3,0,4,0,25,2,2,3,0,8,1,1995,1996,1,1,5,5,3,0.0,2,4,2,2,5,3,2,3.0,6,0.0,415.0,1595.0,1,0,1,4,1616.0,0.0,0.0,1616.0,1,0,2,0,2,1,2,5,7,1,5,0,2,2,608.0,5,5,2,237.0,152.0,0.0,0.0,0.0,0.0,3,4,2,0.0,3,2010,9,4,236500,2
9,13,5,60.0,7500.0,1,1,2,3,0,4,0,8,2,2,1,5,5,1,1999,1999,1,1,13,14,3,0.0,3,4,2,5,5,3,6,7.0,6,0.0,994.0,994.0,1,2,1,4,1028.0,776.0,0.0,1804.0,0,0,2,1,3,1,2,7,7,1,5,0,0,2,442.0,5,5,2,140.0,60.0,0.0,0.0,0.0,0.0,3,4,2,0.0,6,2010,9,4,189000,1
10,13,5,75.0,10000.0,1,1,3,3,0,0,0,8,2,2,1,5,0,1,1993,1994,1,1,6,6,3,0.0,3,4,2,2,5,3,6,7.0,6,0.0,763.0,763.0,1,2,1,4,763.0,892.0,0.0,1655.0,0,0,2,1,3,1,4,7,7,1,5,0,0,2,440.0,5,5,2,157.0,84.0,0.0,0.0,0.0,0.0,3,4,2,0.0,4,2010,9,4,175900,1
