,Rno,Name,Course,Campus,Gender
0,1,Student1,BBA,KO,M
1,2,Student2,MBA,CH,F
2,3,Student3,MTech,DL,F
3,4,Student4,MBA,KO,F
4,5,Student5,MBA,DL,F
5,6,Student6,BTech,CH,F
6,7,Student7,BTech,DL,M
7,8,Student8,BTech,MB,F
8,9,Student9,BTech,MB,F
9,10,Student10,BBA,CH,M
10,11,Student11,BBA,DL,M
11,12,Student12,BTech,MB,F
12,13,Student13,MBA,KO,F
13,14,Student14,MBA,KO,F
14,15,Student15,BTech,CH,F
15,16,Student16,MTech,CH,F
16,17,Student17,BTech,MB,F
17,18,Student18,BTech,MB,F
18,19,Student19,BTech,CH,F
19,20,Student20,MBA,DL,F
20,21,Student21,MBA,CH,F
21,22,Student22,MTech,MB,F
22,23,Student23,MBA,MB,M
23,24,Student24,MTech,CH,M
24,25,Student25,MTech,KO,F
25,26,Student26,BBA,KO,F
26,27,Student27,BTech,MB,F
27,28,Student28,BTech,DL,M
28,29,Student29,MTech,MB,F
29,30,Student30,BBA,MB,F
30,31,Student31,MTech,MB,M
31,32,Student32,MTech,CH,F
32,33,Student33,MBA,CH,F
33,34,Student34,BBA,DL,F
34,35,Student35,BBA,DL,M
35,36,Student36,MTech,KO,F
36,37,Student37,MTech,CH,M
37,38,Student38,BTech,DL,F
38,39,Student39,MTech,CH,M
39,40,Student40,BTech,MB,F
40,41,Student41,MTech,KO,F
41,42,Student42,BTech,KO,M
42,43,Student43,MTech,CH,F
43,44,Student44,BTech,MB,F
44,45,Student45,BBA,DL,F
45,46,Student46,BTech,KO,F
46,47,Student47,MTech,MB,F
47,48,Student48,MTech,CH,F
48,49,Student49,BTech,KO,M
49,50,Student50,BBA,DL,M
50,51,Student51,MBA,MB,M
51,52,Student52,BTech,CH,M
52,53,Student53,BBA,DL,M
53,54,Student54,MBA,CH,F
54,55,Student55,MTech,KO,F
55,56,Student56,MBA,CH,M
56,57,Student57,MBA,CH,F
57,58,Student58,MTech,CH,M
58,59,Student59,BBA,MB,F
59,60,Student60,MBA,DL,F
60,61,Student61,BBA,MB,M
61,62,Student62,BBA,CH,F
62,63,Student63,BBA,DL,M
63,64,Student64,MTech,DL,F
64,65,Student65,BBA,CH,M
65,66,Student66,MTech,MB,M
66,67,Student67,MTech,CH,F
67,68,Student68,MBA,DL,M
68,69,Student69,BTech,KO,M
69,70,Student70,BTech,CH,F
70,71,Student71,BTech,MB,F
71,72,Student72,MTech,DL,M
72,73,Student73,MTech,DL,F
73,74,Student74,BTech,CH,M
74,75,Student75,BBA,DL,F
75,76,Student76,BTech,DL,F
76,77,Student77,MBA,CH,F
77,78,Student78,BBA,CH,M
78,79,Student79,BTech,CH,F
79,80,Student80,MBA,MB,F
80,81,Student81,MBA,KO,F
81,82,Student82,MBA,CH,M
82,83,Student83,BTech,KO,M
83,84,Student84,BTech,CH,F
84,85,Student85,BBA,DL,M
85,86,Student86,MTech,CH,F
86,87,Student87,MBA,MB,M
87,88,Student88,BTech,CH,F
88,89,Student89,MTech,MB,M
89,90,Student90,MBA,DL,M
90,91,Student91,BTech,CH,M
91,92,Student92,MTech,CH,F
92,93,Student93,BBA,KO,F
93,94,Student94,BTech,CH,M
94,95,Student95,BTech,DL,M
95,96,Student96,BBA,DL,F
96,97,Student97,MBA,MB,M
97,98,Student98,BBA,MB,M
98,99,Student99,BTech,KO,F
99,100,Student100,BTech,DL,F
100,101,Student101,BTech,DL,F
101,102,Student102,BBA,DL,F
102,103,Student103,BTech,MB,F
103,104,Student104,MBA,CH,M
104,105,Student105,MBA,KO,F
105,106,Student106,MBA,KO,F
106,107,Student107,BBA,CH,M
107,108,Student108,BBA,KO,F
108,109,Student109,BTech,KO,F
109,110,Student110,BTech,KO,M
110,111,Student111,BBA,KO,M
111,112,Student112,MBA,CH,M
112,113,Student113,MTech,KO,M
113,114,Student114,BBA,DL,F
114,115,Student115,BBA,KO,F
115,116,Student116,MBA,KO,M
116,117,Student117,BTech,DL,F
117,118,Student118,MTech,MB,F
118,119,Student119,BBA,CH,M
119,120,Student120,MTech,DL,M
120,121,Student121,MBA,KO,F
121,122,Student122,MBA,DL,F
122,123,Student123,MTech,DL,F
123,124,Student124,BTech,CH,M
124,125,Student125,BTech,KO,F
125,126,Student126,BBA,CH,M
126,127,Student127,MTech,MB,M
127,128,Student128,MBA,CH,M
128,129,Student129,BTech,CH,M
129,130,Student130,BBA,CH,F
130,131,Student131,MTech,MB,M
131,132,Student132,BBA,CH,M
132,133,Student133,MBA,MB,M
133,134,Student134,MTech,CH,F
134,135,Student135,MBA,DL,M
135,136,Student136,MTech,KO,F
136,137,Student137,BTech,CH,F
137,138,Student138,MBA,KO,M
138,139,Student139,MBA,DL,F
139,140,Student140,BBA,MB,F
140,141,Student141,BTech,CH,F
141,142,Student142,BBA,CH,M
142,143,Student143,BTech,MB,M
143,144,Student144,MBA,CH,M
144,145,Student145,MBA,MB,M
145,146,Student146,MTech,CH,F
146,147,Student147,MBA,KO,F
147,148,Student148,BBA,KO,F
148,149,Student149,BTech,MB,M
149,150,Student150,MTech,CH,F
150,151,Student151,MTech,DL,F
151,152,Student152,BTech,CH,F
152,153,Student153,BBA,KO,F
153,154,Student154,MTech,KO,M
154,155,Student155,BTech,CH,M
155,156,Student156,BBA,CH,M
156,157,Student157,MBA,KO,M
157,158,Student158,MBA,MB,M
158,159,Student159,MTech,CH,M
159,160,Student160,BTech,MB,F
160,161,Student161,BBA,KO,M
161,162,Student162,MBA,CH,F
162,163,Student163,BBA,KO,F
163,164,Student164,MBA,DL,F
164,165,Student165,BBA,CH,M
165,166,Student166,BTech,DL,M
166,167,Student167,MTech,KO,M
167,168,Student168,BBA,MB,M
168,169,Student169,MBA,DL,M
169,170,Student170,BTech,CH,M
170,171,Student171,BBA,MB,F
171,172,Student172,BBA,DL,M
172,173,Student173,MBA,DL,M
173,174,Student174,BTech,CH,M
174,175,Student175,BTech,KO,M
175,176,Student176,BBA,DL,M
176,177,Student177,MBA,CH,F
177,178,Student178,BTech,MB,F
178,179,Student179,BBA,DL,F
179,180,Student180,MBA,CH,M
180,181,Student181,MTech,DL,F
181,182,Student182,BTech,CH,F
182,183,Student183,BBA,KO,M
183,184,Student184,MTech,DL,F
184,185,Student185,BTech,MB,F
185,186,Student186,MTech,MB,M
186,187,Student187,BBA,KO,M
187,188,Student188,BTech,KO,F
188,189,Student189,MTech,DL,F
189,190,Student190,MBA,CH,M
190,191,Student191,BBA,MB,M
191,192,Student192,MBA,CH,M
192,193,Student193,BTech,CH,F
193,194,Student194,MBA,CH,F
194,195,Student195,BTech,CH,M
195,196,Student196,BTech,DL,F
196,197,Student197,MTech,CH,F
197,198,Student198,MBA,DL,M
198,199,Student199,MBA,MB,M
199,200,Student200,MTech,CH,M
200,201,Student201,BBA,CH,F
201,202,Student202,BTech,KO,M
202,203,Student203,MBA,MB,F
203,204,Student204,MBA,KO,M
204,205,Student205,BBA,MB,F
205,206,Student206,MTech,MB,F
206,207,Student207,BTech,CH,F
207,208,Student208,BBA,MB,M
208,209,Student209,BTech,DL,F
209,210,Student210,MTech,MB,F
210,211,Student211,MTech,DL,F
211,212,Student212,BTech,CH,M
212,213,Student213,MBA,KO,F
213,214,Student214,BTech,MB,M
214,215,Student215,MBA,KO,F
215,216,Student216,BTech,DL,F
216,217,Student217,MTech,CH,M
217,218,Student218,BTech,MB,M
218,219,Student219,MTech,CH,F
219,220,Student220,MBA,CH,M
220,221,Student221,BTech,CH,M
221,222,Student222,MBA,MB,F
222,223,Student223,MBA,MB,M
223,224,Student224,MBA,KO,M
224,225,Student225,BTech,KO,M
225,226,Student226,BBA,MB,F
226,227,Student227,MTech,CH,M
227,228,Student228,BTech,KO,F
228,229,Student229,MBA,DL,F
229,230,Student230,BTech,MB,F
230,231,Student231,BBA,CH,F
231,232,Student232,BTech,MB,F
232,233,Student233,MBA,DL,F
233,234,Student234,MBA,KO,F
234,235,Student235,BTech,CH,M
235,236,Student236,BTech,KO,F
236,237,Student237,MBA,DL,F
237,238,Student238,BBA,KO,M
238,239,Student239,MTech,CH,F
239,240,Student240,BBA,CH,F
240,241,Student241,MBA,DL,M
241,242,Student242,BBA,CH,F
242,243,Student243,BTech,MB,F
243,244,Student244,BBA,MB,M
244,245,Student245,MTech,MB,M
245,246,Student246,MTech,MB,F
246,247,Student247,MTech,CH,M
247,248,Student248,BBA,DL,M
248,249,Student249,MBA,KO,F
249,250,Student250,BTech,DL,M
250,251,Student251,BTech,CH,F
251,252,Student252,MBA,DL,M
252,253,Student253,BBA,DL,F
253,254,Student254,MBA,CH,F
254,255,Student255,BTech,CH,F
255,256,Student256,BBA,KO,M
256,257,Student257,MTech,CH,M
257,258,Student258,MTech,DL,F
258,259,Student259,MBA,MB,F
259,260,Student260,MBA,CH,F
260,261,Student261,MBA,DL,M
261,262,Student262,MTech,MB,F
262,263,Student263,BTech,CH,F
263,264,Student264,BBA,DL,M
264,265,Student265,BTech,MB,M
265,266,Student266,MBA,KO,M
266,267,Student267,MBA,CH,F
267,268,Student268,BTech,MB,M
268,269,Student269,MTech,CH,M
269,270,Student270,MBA,KO,M
270,271,Student271,MBA,KO,M
271,272,Student272,BTech,DL,F
272,273,Student273,BTech,DL,F
273,274,Student274,MTech,MB,M
274,275,Student275,BBA,DL,M
275,276,Student276,BBA,MB,F
276,277,Student277,BBA,MB,M
277,278,Student278,BTech,DL,M
278,279,Student279,MTech,CH,M
279,280,Student280,MTech,CH,M
280,281,Student281,BBA,CH,F
281,282,Student282,BTech,CH,F
282,283,Student283,BBA,CH,M
283,284,Student284,BBA,CH,F
284,285,Student285,BBA,MB,M
285,286,Student286,BBA,CH,F
286,287,Student287,MBA,MB,F
287,288,Student288,BTech,DL,M
288,289,Student289,MBA,MB,F
289,290,Student290,BBA,KO,F
290,291,Student291,BBA,DL,F
291,292,Student292,BTech,DL,F
292,293,Student293,BBA,DL,F
293,294,Student294,BTech,MB,M
294,295,Student295,MTech,KO,F
295,296,Student296,MTech,MB,F
296,297,Student297,MBA,KO,M
297,298,Student298,MBA,KO,M
298,299,Student299,BTech,CH,M
299,300,Student300,MBA,KO,M
300,301,Student301,BBA,DL,M
301,302,Student302,MTech,DL,M
302,303,Student303,MTech,CH,F
303,304,Student304,MTech,KO,M
304,305,Student305,BTech,DL,F
305,306,Student306,BTech,KO,F
306,307,Student307,MTech,MB,M
307,308,Student308,MBA,MB,F
308,309,Student309,BBA,MB,F
309,310,Student310,MTech,MB,M
310,311,Student311,MBA,CH,F
311,312,Student312,MTech,DL,F
312,313,Student313,MBA,DL,F
313,314,Student314,MBA,CH,M
314,315,Student315,MTech,CH,F
315,316,Student316,MBA,CH,F
316,317,Student317,BTech,CH,F
317,318,Student318,MBA,DL,M
318,319,Student319,MBA,CH,F
319,320,Student320,BTech,CH,F
320,321,Student321,BBA,KO,F
321,322,Student322,BTech,DL,M
322,323,Student323,MTech,MB,F
323,324,Student324,BBA,CH,F
324,325,Student325,MTech,MB,F
325,326,Student326,MTech,MB,M
326,327,Student327,BTech,DL,M
327,328,Student328,MTech,CH,F
328,329,Student329,BTech,KO,F
329,330,Student330,BTech,MB,M
330,331,Student331,MBA,DL,F
331,332,Student332,BBA,MB,F
332,333,Student333,MTech,CH,M
333,334,Student334,BTech,KO,F
334,335,Student335,MBA,KO,F
335,336,Student336,MTech,KO,M
336,337,Student337,BBA,CH,M
337,338,Student338,MBA,KO,F
338,339,Student339,BBA,CH,F
339,340,Student340,BTech,CH,F
340,341,Student341,BTech,KO,F
341,342,Student342,MTech,KO,M
342,343,Student343,MBA,DL,F
343,344,Student344,MTech,CH,F
